編號,公布日期,證券代號,證券名稱,累計,處置條件,處置起迄時間,處置措施,處置內容,備註
1,115/05/06,1597,直得,1,連續三次,115/05/07～115/05/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260406&endDate=20260506&stockNo=1597' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1597' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
2,115/05/12,1809,中釉,1,連續三次,115/05/13～115/05/26,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十三日起至一百十五年五月二十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260412&endDate=20260512&stockNo=1809' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=1809' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
3,115/05/12,2059,川湖,1,連續三次,115/05/13～115/05/26,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十三日起至一百十五年五月二十六日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260412&endDate=20260512&stockNo=2059' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2059' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
4,115/05/06,2233,宇隆,1,連續三次,115/05/07～115/05/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260406&endDate=20260506&stockNo=2233' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2233' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
5,115/05/07,2426,鼎元,1,連續三次,115/05/08～115/05/21,第二次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月八日起至一百十五年五月二十一日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260407&endDate=20260507&stockNo=2426' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2426' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
6,115/05/06,2454,聯發科,1,連續三次,115/05/07～115/05/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260406&endDate=20260506&stockNo=2454' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2454' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
7,115/05/06,2486,一詮,1,連續三次,115/05/07～115/05/20,第二次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260406&endDate=20260506&stockNo=2486' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2486' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
8,115/05/14,2492,華新科,1,連續三次,115/05/15～115/05/28,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月十五日起至一百十五年五月二十八日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260414&endDate=20260514&stockNo=2492' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=2492' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
9,115/05/19,3008,大立光,1,連續三次,115/05/20～115/06/02,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月二十日起至一百十五年六月二日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260419&endDate=20260519&stockNo=3008' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=3008' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
10,115/05/11,3016,嘉晶,2,連續三次,115/05/12～115/05/25,第二次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。
２處置期間：自民國一百十五年五月十二日起至一百十五年五月二十五日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。
ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260411&endDate=20260511&stockNo=3016' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=3016' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
10,115/05/06,3016,嘉晶,2,連續三次,115/05/07～115/05/20,第一次處置,"１處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準。
２處置期間：自民國一百十五年五月七日起至一百十五年五月二十日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。
３處置措施：
ａ以人工管制之撮合終端機執行撮合作業（約每五分鐘撮合一次）。
ｂ投資人每日委託買賣該有價證券數量單筆達十交易單位或多筆累積達三十交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。
ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。
","
提供處置有價證券連結資訊<br>
1.<a href='notice.html?querytype=2&startDate=20260406&endDate=20260506&stockNo=3016' target='_blank'>處置原因</a>：提供公布日期近一個月之「公布注意交易資訊」數據標準<br>
2.<a href='https://mopsov.twse.com.tw/mops/web/t146sb05?step=1&firstin=Y&co_id=3016' target='_blank'>公開資訊觀測站</a>：提供財務業務與重大訊息之精華版資訊
"
