Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150520,00400A,主動國泰動能高息,35958875,458982455,12.76,12.90,12.67,12.72,0.0200,7535
1150520,00401A,主動摩根台灣鑫收,11241244,137223409,12.16,12.30,12.13,12.17,0.0200,908
1150520,00403A,主動統一升級50,752612407,7288955966,9.73,9.77,9.64,9.66,-0.0600,215181
1150520,0050,元大台灣50,121650308,11289688382,93.00,93.50,92.45,92.50,-0.6000,227369
1150520,0051,元大中型100,81571,10458267,127.75,128.95,127.65,128.20,0.4500,476
1150520,0052,富邦科技,28912670,1579337358,54.75,55.00,54.40,54.45,-0.3500,21754
1150520,0053,元大電子,15436,3293227,213.60,214.30,211.65,212.25,0.0000,220
1150520,0055,元大MSCI金融,239401,8124872,33.91,34.10,33.86,33.97,0.0600,420
1150520,0056,元大高股息,28691617,1268211395,44.15,44.46,44.00,44.04,0.0300,20635
1150520,0057,富邦摩台,48149,13240915,275.80,277.60,274.30,274.65,-2.3000,134
1150520,0061,元大寶滬深,160870,3985973,24.70,24.86,24.70,24.79,0.1400,176
1150520,006203,元大MSCI台灣,67092,11336171,169.65,170.40,168.15,168.75,0.0500,126
1150520,006204,永豐臺灣加權,4077,817548,201.30,201.30,200.50,200.50,-0.5000,119
1150520,006205,富邦上証,618352,25526593,40.97,41.51,40.97,41.32,0.4000,589
1150520,006206,元大上證50,72589,2686356,37.04,37.04,36.89,37.01,0.2400,92
1150520,006207,復華滬深,189780,6290364,32.99,33.19,32.99,33.18,0.1900,113
1150520,006208,富邦台50,5292332,1136254827,215.40,216.40,213.80,214.10,-1.5500,18825
1150520,00625K,富邦上証+R,,,,,,,0.0000,
1150520,00631L,元大台灣50正2,174069871,5163179057,29.87,30.05,29.37,29.51,-0.4200,79429
1150520,00632R,元大台灣50反1,152124448,1781299689,11.67,11.78,11.62,11.73,0.0700,11666
1150520,00633L,富邦上証正2,1925789,99096127,51.05,52.00,51.00,51.05,0.1500,360
1150520,00634R,富邦上証反1,149000,462140,3.13,3.13,3.09,3.11,-0.0100,10
1150520,00635U,期元大S&P黃金,7132927,334517953,47.15,47.15,46.68,46.86,-0.6900,5252
1150520,00636,國泰中國A50,663515,18823336,28.30,28.53,28.30,28.31,0.0800,360
1150520,00636K,國泰中國A50+U,200,1802,9.01,9.01,9.01,9.01,0.0300,2
1150520,00637L,元大滬深300正2,35708353,759846741,21.18,21.50,21.12,21.15,0.1200,2765
1150520,00638R,元大滬深300反1,35000,232080,6.64,6.67,6.60,6.67,0.0000,9
1150520,00639,富邦深100,1285220,22648584,17.60,17.75,17.53,17.56,-0.0100,424
1150520,00640L,富邦日本正2,435655,40938431,95.45,95.45,92.75,93.50,-3.5500,366
1150520,00641R,富邦日本反1,4118750,16541024,3.98,4.04,3.98,4.04,0.0900,178
1150520,00642U,期元大S&P石油,3523450,115731958,32.89,33.00,32.63,32.79,0.2000,1117
1150520,00643,群益深証中小,2330555,47032098,20.15,20.30,20.05,20.11,-0.0100,572
1150520,00643K,群益深証中小+R,,,,,,,0.0000,
1150520,00645,富邦日本,269542,14365387,53.60,53.60,53.00,53.15,-0.9500,342
1150520,00646,元大S&P500,5039916,369238012,73.25,73.35,73.15,73.20,-0.2000,3584
1150520,00647L,元大S&P500正2,190792,24835829,130.35,130.40,129.65,130.05,-0.9500,118
1150520,00648R,元大S&P500反1,816200,3321062,4.06,4.08,4.06,4.08,0.0200,63
1150520,00650L,復華香港正2,2293138,39483802,17.28,17.30,17.12,17.17,-0.1600,441
1150520,00651R,復華香港反1,98799,517968,5.25,5.25,5.23,5.25,0.0200,17
1150520,00652,富邦印度,288984,9220531,32.42,32.42,31.82,31.99,-0.3300,339
1150520,00653L,富邦印度正2,195167,8667615,44.52,44.76,44.15,44.73,-0.7300,154
1150520,00654R,富邦印度反1,42100,292634,6.95,6.97,6.93,6.94,0.0800,19
