證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2891,中信金          ,"92,077,685","41,494,094","50,583,591",0,0,0,0,"3,888,267","-3,888,267","210,812","890,428","302,000","588,428","1,063,444","1,441,060","-377,616","46,906,136"
2887,台新新光金      ,"81,418,199","45,110,897","36,307,302",0,0,0,"4,195,000","7,360,000","-3,165,000","-1,869,096","1,078,083","390,000","688,083","521,821","3,079,000","-2,557,179","31,273,206"
00919,群益台灣精選高息,"12,239,125","8,374,129","3,864,996",0,0,0,0,0,0,"23,800,946","405,000","203,000","202,000","30,559,701","6,960,755","23,598,946","27,665,942"
00632R,元大台灣50反1   ,"3,249,000","2,703,000","546,000",0,0,0,0,0,0,"23,983,964","1,386,000","13,374,000","-11,988,000","70,962,408","34,990,444","35,971,964","24,529,964"
2603,長榮            ,"38,699,391","13,128,864","25,570,527",0,0,0,"318,000","2,758,652","-2,440,652","328,541","407,000","87,000","320,000","998,033","989,492","8,541","23,458,416"
00940,元大台灣價值高息,"11,156,000","3,843,000","7,313,000",0,0,0,0,0,0,"14,833,834","30,000",0,"30,000","20,802,120","5,998,286","14,803,834","22,146,834"
2027,大成鋼          ,"28,567,068","7,298,300","21,268,768",0,0,0,"100,000","1,419,000","-1,319,000","-551,000","227,969","1,754,000","-1,526,031","1,111,322","136,291","975,031","19,398,768"
2883,凱基金          ,"32,383,020","21,921,882","10,461,138",0,0,0,"6,070,000","112,000","5,958,000","-658,072","623,000","642,000","-19,000","178,649","817,721","-639,072","15,761,066"
009805,新光美國電力基建,"7,254,000","93,000","7,161,000",0,0,0,0,0,0,"6,994,132","50,000",0,"50,000","10,497,000","3,552,868","6,944,132","14,155,132"
009820,元大納斯達克精選,"9,825,000","357,000","9,468,000",0,0,0,0,0,0,"4,385,875","618,000",0,"618,000","5,295,000","1,527,125","3,767,875","13,853,875"
00988A,主動統一全球創新,"20,583,769","10,219,000","10,364,769",0,0,0,0,0,0,"1,247,246",0,0,0,"4,552,000","3,304,754","1,247,246","11,612,015"
00990A,主動元大AI新經濟,"14,172,200","4,368,250","9,803,950",0,0,0,0,0,0,"1,495,979","221,000","146,000","75,000","4,764,056","3,343,077","1,420,979","11,299,929"
4958,臻鼎-KY         ,"22,105,476","17,293,399","4,812,077",0,0,0,"5,761,000",0,"5,761,000","36,098","400,500","338,000","62,500","896,308","922,710","-26,402","10,609,175"
2344,華邦電          ,"55,224,124","42,499,347","12,724,777",0,0,0,"2,187,000","441,000","1,746,000","-4,071,628","1,477,000","5,148,544","-3,671,544","1,448,903","1,848,987","-400,084","10,399,149"
00929,復華台灣科技優息,"2,798,151","1,542,025","1,256,126",0,0,0,0,0,0,"8,862,142","120,000","180,000","-60,000","13,564,378","4,642,236","8,922,142","10,118,268"
3481,群創            ,"203,134,160","190,167,614","12,966,546",0,0,0,"16,000","40,000","-24,000","-2,843,462","3,115,000","4,460,000","-1,345,000","5,876,615","7,375,077","-1,498,462","10,099,084"
00918,大華優利高填息30,"1,757,000","2,525,000","-768,000",0,0,0,0,0,0,"10,572,656","28,000",0,"28,000","11,935,787","1,391,131","10,544,656","9,804,656"
2388,威盛            ,"12,609,087","3,642,123","8,966,964",0,0,0,"180,000",0,"180,000","527,644","158,874","128,000","30,874","592,714","95,944","496,770","9,674,608"
00664R,國泰臺灣加權反1 ,0,0,0,0,0,0,0,0,0,"9,402,071",0,"4,990,000","-4,990,000","20,417,279","6,025,208","14,392,071","9,402,071"
00878,國泰永續高股息  ,"6,792,544","3,346,300","3,446,244",0,0,0,0,0,0,"4,751,563","116,000","315,000","-199,000","14,787,400","9,836,837","4,950,563","8,197,807"
0056,元大高股息      ,"11,315,193","4,355,681","6,959,512",0,0,0,0,"100,000","-100,000","933,863","52,000","263,000","-211,000","1,980,822","835,959","1,144,863","7,793,375"
2312,金寶            ,"11,491,000","4,221,000","7,270,000",0,0,0,"501,000","2,994,000","-2,493,000","1,434,597","821,000","85,000","736,000","764,597","66,000","698,597","6,211,597"
2401,凌陽            ,"12,282,074","7,642,444","4,639,630",0,0,0,"73,000",0,"73,000","883,763","273,326","147,408","125,918","761,123","3,278","757,845","5,596,393"
00997A,主動群益美國增長,"7,565,100","1,653,000","5,912,100",0,0,0,0,0,0,"-420,097",0,0,0,"4,664,522","5,084,619","-420,097","5,492,003"
043697,建準元大5B購01  ,0,0,0,0,0,0,0,0,0,"5,110,000",0,0,0,"5,226,000","116,000","5,110,000","5,110,000"
4916,事欣科          ,"12,470,571","6,997,306","5,473,265",0,0,0,0,"126,000","-126,000","-269,776","19,000","456,000","-437,000","585,644","418,420","167,224","5,077,489"
00900,富邦特選高股息30,"2,194,000","955,400","1,238,600",0,0,0,0,0,0,"3,832,442",0,0,0,"4,217,670","385,228","3,832,442","5,071,042"
00688L,國泰20年美債正2 ,"259,000","463,000","-204,000",0,0,0,0,0,0,"5,202,497",0,0,0,"5,926,674","724,177","5,202,497","4,998,497"
2352,佳世達          ,"4,527,015","732,000","3,795,015",0,0,0,"1,049,000","80,000","969,000","25,717","12,000","13,000","-1,000","32,717","6,000","26,717","4,789,732"
1402,遠東新          ,"11,754,735","6,758,000","4,996,735",0,0,0,0,"40,000","-40,000","-193,142","85,000","262,000","-177,000","61,180","77,322","-16,142","4,763,593"
2484,希華            ,"7,433,090","3,172,000","4,261,090",0,0,0,0,0,0,"81,390","85,809","4,419","81,390",0,0,0,"4,342,480"
2615,萬海            ,"11,067,127","8,434,598","2,632,529",0,0,0,"1,543,000","9,000","1,534,000","59,493","144,000","129,000","15,000","272,963","228,470","44,493","4,226,022"
00713,元大台灣高息低波,"2,045,140","1,020,000","1,025,140",0,0,0,"145,000",0,"145,000","2,947,899","20,000",0,"20,000","3,722,205","794,306","2,927,899","4,118,039"
00637L,元大滬深300正2  ,"1,786,000","2,373,000","-587,000",0,0,0,0,0,0,"4,534,627",0,0,0,"17,492,422","12,957,795","4,534,627","3,947,627"
00945B,凱基美國非投等債,"1,765,000",0,"1,765,000",0,0,0,0,0,0,"2,158,898",0,0,0,"2,582,000","423,102","2,158,898","3,923,898"
00922,國泰台灣領袖50  ,"2,479,439","664,000","1,815,439",0,0,0,0,0,0,"2,020,082",0,0,0,"4,343,997","2,323,915","2,020,082","3,835,521"
00936,台新永續高息中小,"1,174,000","389,000","785,000",0,0,0,0,0,0,"2,983,292",0,0,0,"3,578,207","594,915","2,983,292","3,768,292"
1711,永光            ,"6,874,000","3,248,000","3,626,000",0,0,0,0,0,0,"-6,935","18,000","10,000","8,000","30,724","45,659","-14,935","3,619,065"
054694,力成元大61購01  ,0,0,0,0,0,0,0,0,0,"3,579,000",0,0,0,"3,579,000",0,"3,579,000","3,579,000"
3045,台灣大          ,"7,053,118","6,015,600","1,037,518",0,0,0,"2,505,000","31,000","2,474,000","53,000","96,000","43,000","53,000","19,782","19,782",0,"3,564,518"
065624,南亞科群益5B購02,0,0,0,0,0,0,0,0,0,"3,449,000",0,0,0,"3,561,000","112,000","3,449,000","3,449,000"
2337,旺宏            ,"45,041,522","32,002,147","13,039,375",0,0,0,"312,000","8,235,000","-7,923,000","-1,690,851","152,000","1,507,000","-1,355,000","895,520","1,231,371","-335,851","3,425,524"
6239,力成            ,"9,916,867","5,402,604","4,514,263",0,0,0,"55,000","1,262,000","-1,207,000","81,944","176,000","335,993","-159,993","481,185","239,248","241,937","3,389,207"
00400A,主動國泰動能高息,"6,662,077","4,011,400","2,650,677",0,0,0,0,0,0,"702,976",0,0,0,"8,615,528","7,912,552","702,976","3,353,653"
03972C,元債2X凱基58牛01,0,0,0,0,0,0,0,0,0,"3,342,000",0,0,0,"3,796,000","454,000","3,342,000","3,342,000"
00830,國泰費城半導體  ,"3,162,277","566,245","2,596,032",0,0,0,0,0,0,"635,623","167,000",0,"167,000","2,626,875","2,158,252","468,623","3,231,655"
00953B,群益優選非投等債,"1,471,000",0,"1,471,000",0,0,0,0,0,0,"1,758,000",0,0,0,"8,020,000","6,262,000","1,758,000","3,229,000"
1582,信錦            ,"12,190,328","8,896,000","3,294,328",0,0,0,0,"2,104","-2,104","-119,492","333,068","309,210","23,858","95,523","238,873","-143,350","3,172,732"
00996A,主動兆豐台灣豐收,"936,000","492,000","444,000",0,0,0,0,0,0,"2,604,131",0,0,0,"5,302,803","2,698,672","2,604,131","3,048,131"
052839,兆聯凱基57購02  ,0,0,0,0,0,0,0,0,0,"3,021,000",0,0,0,"3,086,000","65,000","3,021,000","3,021,000"
2492,華新科          ,"3,393,216","786,050","2,607,166",0,0,0,"59,000",0,"59,000","342,605","170,000","21,000","149,000","293,122","99,517","193,605","3,008,771"
043937,建準元大5B購02  ,0,0,0,0,0,0,0,0,0,"3,001,000",0,0,0,"3,584,000","583,000","3,001,000","3,001,000"
053982,中興電元大57購02,0,0,0,0,0,0,0,0,0,"2,993,000",0,0,0,"2,994,000","1,000","2,993,000","2,993,000"
9933,中鼎            ,"3,145,300","1,580,000","1,565,300",0,0,0,"193,000","1,000","192,000","1,101,922","1,200,922","99,000","1,101,922",0,0,0,"2,859,222"
066347,南亞科群益5B購07,0,0,0,0,0,0,0,0,0,"2,835,000",0,0,0,"2,961,000","126,000","2,835,000","2,835,000"
6271,同欣電          ,"3,323,000","1,040,110","2,282,890",0,0,0,0,0,0,"460,148","218,000","26,000","192,000","322,853","54,705","268,148","2,743,038"
00993A,主動安聯台灣    ,"2,559,000","1,758,000","801,000",0,0,0,0,0,0,"1,764,503",0,0,0,"3,991,499","2,226,996","1,764,503","2,565,503"
2489,瑞軒            ,"18,767,377","15,576,030","3,191,347",0,0,0,"203,000",0,"203,000","-846,334","1,258,000","2,204,552","-946,552","273,174","172,956","100,218","2,548,013"
00680L,元大美債20正2   ,"543,000","897,000","-354,000",0,0,0,0,0,0,"2,890,286",0,0,0,"9,501,813","6,611,527","2,890,286","2,536,286"
00915,凱基優選高股息30,"4,513,000","485,000","4,028,000",0,0,0,0,0,0,"-1,502,856","105,000",0,"105,000","3,630,369","5,238,225","-1,607,856","2,525,144"
060672,勤誠元大59購11  ,0,0,0,0,0,0,0,0,0,"2,404,000",0,0,0,"2,406,000","2,000","2,404,000","2,404,000"
063859,金像電群益5B購01,0,0,0,0,0,0,0,0,0,"2,388,000",0,0,0,"2,388,000",0,"2,388,000","2,388,000"
044926,佳能元大58購02  ,0,0,0,0,0,0,0,0,0,"2,380,000",0,0,0,"2,590,000","210,000","2,380,000","2,380,000"
052722,可寧衛富邦5A購02,0,0,0,0,0,0,0,0,0,"2,379,000",0,0,0,"2,379,000",0,"2,379,000","2,379,000"
065915,和椿國票5B購01  ,0,0,0,0,0,0,0,0,0,"2,374,000",0,0,0,"2,446,000","72,000","2,374,000","2,374,000"
043355,華城元大5B購01  ,0,0,0,0,0,0,0,0,0,"2,356,000",0,0,0,"2,365,000","9,000","2,356,000","2,356,000"
00939,統一台灣高息動能,"518,000","479,000","39,000",0,0,0,0,0,0,"2,269,294",0,0,0,"4,206,457","1,937,163","2,269,294","2,308,294"
04008C,臺股指凱基64牛01,0,0,0,0,0,0,0,0,0,"2,280,000",0,0,0,"2,606,000","326,000","2,280,000","2,280,000"
00992A,主動群益科技創新,"12,929,718","9,086,000","3,843,718",0,0,0,0,0,0,"-1,634,678","1,387,000",0,"1,387,000","6,133,141","9,154,819","-3,021,678","2,209,040"
054079,亞光凱基57購04  ,0,0,0,0,0,0,0,0,0,"2,142,000",0,0,0,"3,687,000","1,545,000","2,142,000","2,142,000"
058441,長榮元大5B購01  ,0,0,0,0,0,0,0,0,0,"2,103,000",0,0,0,"2,133,000","30,000","2,103,000","2,103,000"
6209,今國光          ,"2,706,000","976,000","1,730,000",0,0,0,0,0,0,"348,035","151,035","38,000","113,035","285,000","50,000","235,000","2,078,035"
050640,海華元大56購01  ,0,0,0,0,0,0,0,0,0,"2,078,000",0,0,0,"2,210,000","132,000","2,078,000","2,078,000"
065501,台積電元大5B購08,0,0,0,0,0,0,0,0,0,"2,056,000",0,0,0,"2,096,000","40,000","2,056,000","2,056,000"
