股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
00400A,主動國泰動能高息,229,314,3,15070,14982,383035,10,1,,62,53,383035,21, 
00401A,主動摩根台灣鑫收,110,2,5,798,901,64848,,,,,,64848,, 
00403A,主動統一升級50,11731,8898,2051,198440,199222,4556754,48,57,,1214,1223,4556754,91, 
0050,元大台灣50,629,212,6,9686,10097,4709125,61,73,,1212,1224,4709125,, 
0051,元大中型100,,,,52,52,6125,,,,,,6125,, 
0052,富邦科技,1416,127,4,10522,11807,626500,2,7,,83,88,626500,3, 
0053,元大電子,,,,9,9,1247,,,,,,1247,, 
0055,元大MSCI金融,,11,,62,51,20288,,,,,,20288,, 
0056,元大高股息,142,80,,2507,2569,3436383,2,5,,96,99,3436383,, 
0057,富邦摩台,,,,,,381,,,,,,381,, 
0061,元大寶滬深,2,,,137,139,25904,,,,,,25904,, 
006203,元大MSCI台灣,5,,,,5,2554,,,,,,2554,, 
006204,永豐臺灣加權,,,,,,375,,,,,,375,, 
006205,富邦上証,,,,9,9,25359,,,,1,1,25359,, 
006206,元大上證50,1,,,13,14,7319,,,,,,7319,, 
006207,復華滬深,,,,5,5,5598,,,,,,5598,, 
006208,富邦台50,13,15,,269,267,459760,,,,31,31,459760,, 
00631L,元大台灣50正2,11052,6803,188,142208,146269,1135337,2045,2569,1,12897,13420,1135337,890, 
00632R,元大台灣50反1,10754,21445,45,287633,276897,567801,63,383,,5180,5500,567801,996, 
00633L,富邦上証正2,14,55,,7443,7402,35239,,9,,838,847,35239,1, 
00634R,富邦上証反1,1,2,,1867,1866,11814,,,,23,23,11814,, 
00635U,期元大S&P黃金,58,151,,4872,4779,73128,2,2,,269,269,73128,, 
00636,國泰中國A50,,,,37,37,26831,,,,,,26831,, 
00637L,元大滬深300正2,961,3398,,85035,82598,204276,10,57,,11062,11109,204276,61, 
00638R,元大滬深300反1,,,,920,920,6862,,,,4,4,6862,, 
00639,富邦深100,21,19,,619,621,27975,,,,7,7,27975,, 
00640L,富邦日本正2,15,45,,631,601,2354,1,,,78,77,2354,15, 
00641R,富邦日本反1,169,995,,8351,7525,18689,10,25,,497,512,18689,, 
00642U,期元大S&P石油,659,868,,6201,5992,25705,3,37,,3698,3732,25705,, 
00643,群益深証中小,13,,,1045,1058,20393,,,,,,20393,, 
00645,富邦日本,,,,29,29,12749,,,,,,12749,, 
00646,元大S&P500,48,1,1,141,187,137121,,,,2,2,137121,, 
00647L,元大S&P500正2,,,,26,26,1604,,,,,,1604,, 
00648R,元大S&P500反1,43,358,,9923,9608,36672,1,,,155,154,36672,, 
00650L,復華香港正2,186,259,,14840,14767,30334,28,8,,1630,1610,30334,, 
00651R,復華香港反1,2,26,,1959,1935,8298,9,,,318,309,8298,, 
00652,富邦印度,1,,,39,40,17008,,,,,,17008,, 
00653L,富邦印度正2,9,2,,2797,2804,4600,,,,7,7,4600,1, 
00654R,富邦印度反1,11,,,636,647,5116,5,,,71,66,5116,, 
00655L,國泰中國A50正2,27,53,,2255,2229,18114,,3,,357,360,18114,, 
00656R,國泰中國A50反1,,,,236,236,5089,,,,,,5089,, 
00657,國泰日經225,,,,,,1646,,,,,,1646,, 
00660,元大歐洲50,,,,8,8,2007,,,,,,2007,, 
00661,元大日經225,,,,12,12,5981,,,,,,5981,, 
00662,富邦NASDAQ,,2,,924,922,187632,,,,2,2,187632,, 
00663L,國泰臺灣加權正2,431,230,,5739,5940,28165,92,57,,1930,1895,28165,22, 
00664R,國泰臺灣加權反1,3785,6246,60,109526,107005,194143,2,5,,430,433,194143,100, 
00665L,富邦恒生國企正2,743,158,,76659,77244,114866,37,2,338,1579,1206,114866,12, 
00666R,富邦恒生國企反1,,,,539,539,3781,,,,12,12,3781,, 
00668,國泰美國道瓊,58,,,74,132,2883,,,,,,2883,, 
00669R,國泰美國道瓊反1,733,611,,15426,15548,52154,,2,,186,188,52154,, 
00670L,富邦NASDAQ正2,48,10,,1274,1312,18786,17,3,,237,223,18786,, 
00671R,富邦NASDAQ反1,,10,,134760,134750,136721,38,6,,2585,2553,136721,,O 
00673R,期元大S&P原油反1,2805,416,,113413,115802,212887,10,37,,291,318,212887,54, 
00674R,期元大S&P黃金反1,,,,115,115,,,,,,,,,OX 
00675L,富邦臺灣加權正2,80,35,,1594,1639,27071,3,5,,572,574,27071,2, 
00676R,富邦臺灣加權反1,281,565,,21273,20989,43208,,5,,304,309,43208,, 
00678,群益那斯達克生技,,,,11,11,1987,,,,,,1987,, 
00680L,元大美債20正2,1584,1249,31,85240,85544,470769,82,55,,284,257,470769,35, 
00681R,元大美債20反1,,,,18,18,1898,,,,,,1898,, 
00682U,期元大美元指數,,,,3,3,1911,,,,,,1911,, 
00683L,期元大美元指正2,,,,134,134,2858,,,,1,1,2858,, 
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, 
00685L,群益臺灣加權正2,34,17,,433,450,10034,7,,,21,14,10034,, 
00686R,群益臺灣加權反1,308,278,,18495,18525,44569,12,,,29,17,44569,, 
00688L,國泰20年美債正2,764,1297,,37263,36730,197653,,,,20,20,197653,, 
00689R,國泰20年美債反1,,,,1,1,1722,,,,,,1722,, 
00690,兆豐藍籌30,11,1,,84,94,20207,,,,,,20207,, 
00692,富邦公司治理,,,,59,59,155195,,,,,,155195,, 
00693U,期街口S&P黃豆,32,29,,4096,4099,24916,,,,12,12,24916,, 
00700,富邦恒生國企,,,,179,179,8995,,,,,,8995,, 
00701,國泰股利精選30,10,,,92,102,45472,,,,,,45472,, 
00702,國泰標普低波高息,,,,,,1672,,,,,,1672,, 
00703,台新MSCI中國,,,,2,2,2512,,,,,,2512,, 
00706L,期元大S&P日圓正2,223,22,,2797,2998,39567,,,,48,48,39567,, 
00707R,期元大S&P日圓反1,,,,,,1463,,,,,,1463,,X 
00708L,期元大S&P黃金正2,351,332,2,9629,9646,27768,12,25,,732,745,27768,59, 
00709,富邦歐洲,,,,2,2,3990,,,,,,3990,, 
00710B,復華彭博非投等債,,,,13,13,45815,,,,,,45815,, 
00711B,復華彭博新興債,,,,3,3,218065,,,,,,218065,, 
00712,復華富時不動產,159,67,,14878,14970,1237252,5,,,69,64,1237252,, 
00713,元大台灣高息低波,5,,1,112,116,475878,,,,4,4,475878,, 
00714,群益道瓊美國地產,,,,3,3,5516,,,,,,5516,, 
00715L,期街口布蘭特正2,750,878,,9947,9819,21047,10,57,,6823,6870,21047,4, 
00717,富邦美國特別股,,,,2,2,34901,,,,,,34901,, 
00728,第一金工業30,,,,,,9855,,,,,,9855,, 
00730,富邦臺灣優質高息,,25,,37,12,18636,,,,,,18636,, 
00731,復華富時高息低波,,,,8,8,6275,,,,,,6275,, 
00733,富邦臺灣中小,5,3,,48,50,18366,,,,2,2,18366,, 
00735,國泰臺韓科技,111,152,,1862,1821,17197,11,3,,34,26,17197,, 
00736,國泰新興市場,,,,,,1556,,,,,,1556,, 
00737,國泰AI機器人,1,,,54,55,5634,,,,,,5634,, 
00738U,期元大道瓊白銀,516,175,,11916,12257,62824,22,10,,370,358,62824,34, 
00739,元大MSCI A股,,,,,,6497,,,,,,6497,, 
00752,中信中國50,,1,,612,611,76554,4,,,6,2,76554,, 
00753L,中信中國50正2,778,1544,,102023,101257,180414,18,52,,1281,1315,180414,, 
00757,統一FANG+,4,1,,406,409,73998,,,,13,13,73998,, 
00762,元大全球AI,,,,60,60,12062,,,,,,12062,, 
00763U,期街口道瓊銅,180,44,,1983,2119,13641,,5,,104,109,13641,, 
00770,國泰北美科技,1,,,24,25,20739,,,,,,20739,, 
00771,元大US高息特別股,,,,,,3556,,,,,,3556,,X 
00775B,新光投等債15+,,,,,,58025,,,,,,58025,,X 
00783,富邦中証500,,,,452,452,2632,,,,,,2632,, 
00830,國泰費城半導體,73,182,1,3117,3007,162241,5,23,,249,267,162241,2, 
00850,元大臺灣ESG永續,15,,,40,55,104236,,,,,,104236,,X 
00851,台新全球AI,1,,,1,2,1506,,,,,,1506,, 
00852L,國泰美國道瓊正2,1,5,,134,130,2216,,,,78,78,2216,, 
00861,元大全球未來通訊,1,1,,13,13,17228,,,,,,17228,, 
00865B,國泰US短期公債,,,,354,354,58811,,,,,,58811,, 
00875,國泰網路資安,3,,,1,4,3372,,,,,,3372,, 
00876,元大全球5G,,,,8,8,18506,,,,,,18506,1, 
00878,國泰永續高股息,156,155,,5891,5892,4735947,1,,,3,2,4735947,1, 
00881,國泰台灣科技龍頭,77,5,,1027,1099,588475,5,,,39,34,588475,, 
00882,中信中國高股息,87,7,,1925,2005,511712,,1,,2,3,511712,, 
00885,富邦越南,31,139,,824,716,163809,14,1,,173,160,163809,, 
00891,中信關鍵半導體,225,400,23,12552,12354,461772,3,20,,14,31,461772,6, 
00892,富邦台灣半導體,31,10,,421,442,67198,,,,,,67198,, 
00893,國泰智能電動車,1,1,,103,103,93971,,,,23,23,93971,, 
00894,中信小資高價30,19,7,,932,944,38627,,,,,,38627,14, 
00895,富邦未來車,2,,,86,88,38854,,,,12,12,38854,, 
00896,中信綠能及電動車,12,5,,521,528,67845,,,,,,67845,3, 
00897,富邦基因免疫生技,2,,,17,19,38378,,,,,,38378,, 
00898,國泰基因免疫革命,10,5,,23,28,40119,,,,,,40119,, 
00899,FT潔淨能源,,1,,46,45,4158,,,,,,4158,, 
00900,富邦特選高股息30,8,13,,244,239,452756,,,,,,452756,11, 
00901,永豐智能車供應鏈,,,,10,10,16337,,,,,,16337,, 
00902,中信電池及儲能,14,41,,1159,1132,59874,4,,,37,33,59874,, 
00903,富邦元宇宙,,1,,8,7,13555,,,,,,13555,, 
00904,新光臺灣半導體30,213,83,,944,1074,43028,,,,1,1,43028,, 
00905,FT臺灣Smart,3,,,186,189,83456,,,,,,83456,, 
00907,永豐優息存股,,,,29,29,46408,,,,,,46408,, 
00908,富邦入息REITs+,,,,,,9229,,,,,,9229,, 
00909,國泰數位支付服務,51,15,,1363,1399,35551,4,2,,68,66,35551,, 
00910,第一金太空衛星,70,28,,1461,1503,23109,,,,4,4,23109,, 
00911,兆豐洲際半導體,2,2,,120,120,4600,,,,,,4600,, 
00912,中信臺灣智慧50,,,,4,4,14813,,,,,,14813,, 
00913,兆豐台灣晶圓製造,,,,37,37,5066,,,,,,5066,, 
00915,凱基優選高股息30,,,,121,121,152870,,,,,,152870,, 
00916,國泰全球品牌50,,,,2,2,15604,,,,,,15604,, 
00917,中信特選金融,,6,,89,83,15994,,,,,,15994,, 
00918,大華優利高填息30,57,182,4,2043,1914,786441,,30,,83,113,786441,, 
00919,群益台灣精選高息,292,943,,8215,7564,4419533,,8,,103,111,4419533,1, 
00920,富邦ESG綠色電力,50,,,52,102,4820,,,,,,4820,, 
00921,兆豐龍頭等權重,,,,,,15192,,,,,,15192,, 
00922,國泰台灣領袖50,31,63,,1028,996,492046,13,,,67,54,492046,1, 
00923,群益台ESG低碳50,13,304,,536,245,212355,,,,7,7,212355,, 
00924,復華S&P500成長,,,,83,83,113775,,,,,,113775,, 
00926,凱基全球菁英55,,,,24,24,21995,,,,,,21995,, 
00927,群益半導體收益,89,454,,3211,2846,188724,2,,,16,14,188724,1, 
00929,復華台灣科技優息,37,113,,2745,2669,1177909,,,,,,1177909,3, 
00930,永豐ESG低碳高息,28,1,,23,50,36569,,,,,,36569,,X 
00932,兆豐永續高息等權,,,,5,5,39695,,,,,,39695,, 
00934,中信成長高股息,1,,2,390,389,102381,,,,,,102381,, 
00935,野村臺灣新科技50,106,69,3,2953,2987,144626,4,,,64,60,144626,1, 
00936,台新永續高息中小,,2,,9,7,63949,,,,,,63949,, 
00938,凱基優選30,,,,51,51,20379,,,,,,20379,, 
00939,統一台灣高息動能,,,,80,80,313869,,,,,,313869,, 
00940,元大台灣價值高息,23,33,,1027,1017,1483466,,,,,,1483466,6, 
00941,中信上游半導體,11,,,197,208,114447,,,,1,1,114447,, 
00943,兆豐電子高息等權,,,,4,4,10597,,,,,,10597,, 
00944,野村趨勢動能高息,,,,2,2,14770,,,,,,14770,, 
00945B,凱基美國非投等債,,,,937,937,216829,,,,,,216829,, 
00946,群益科技高息成長,1,,,513,514,124186,,,,,,124186,, 
00947,台新臺灣IC設計,641,95,,2513,3059,47091,6,,,18,12,47091,7, 
00949,復華日本龍頭,,,,144,144,49107,,,,,,49107,, 
00951,台新日本半導體,36,4,,1473,1505,59760,,,,2,2,59760,, 
00952,凱基台灣AI50,4,,,683,687,57318,,,,,,57318,, 
00953B,群益優選非投等債,339,11,,71539,71867,1105793,,,,,,1105793,, 
00954,中信日本半導體,29,,,1193,1222,25311,2,,,2,,25311,, 
00956,中信日經高股息,,,,96,96,8657,,,,,,8657,, 
00960,野村全球航運龍頭,20,2,,63,81,17248,,,,,,17248,, 
00961,FT臺灣永續高息,,12,,688,676,43252,,,,,,43252,, 
00962,台新AI優息動能,,,,95,95,12105,,,,,,12105,, 
00963,中信全球高股息,,2,,11,9,22233,,,,,,22233,, 
00964,中信亞太高股息,,,,69,69,16281,,,,,,16281,, 
00965,元大航太防衛科技,13,5,,3494,3502,130123,1,,,52,51,130123,, 
00971,野村美國研發龍頭,,,,60,60,17544,,,,,,17544,, 
00972,野村日本動能高息,,,,11,11,5043,,,,,,5043,, 
009800,中信NASDAQ,,36,,1406,1370,72722,,,,9,9,72722,, 
009801,中信美國創新科技,,,,95,95,29279,,,,2,2,29279,, 
009802,富邦旗艦50,10,17,,2405,2398,130623,1,4,,11,14,130623,, 
009803,玉山市值動能50,3,4,,139,138,32832,,,,,,32832,, 
009804,聯邦台精彩50,2,11,,97,88,29723,,,,,,29723,, 
009805,新光美國電力基建,89,88,,18316,18317,176704,,,,1,1,176704,, 
009808,華南永昌優選50,,,,81,81,10627,,,,,,10627,, 
009809,富邦淨零ESG50,,,,4,4,8715,,,,,,8715,, 
00980A,主動野村臺灣優選,43,42,11,4755,4745,192182,22,4,,53,35,192182,3, 
009810,玉山全球藍籌100,,,,,,4913,,,,,,4913,, 
009811,統一美國50,,,,126,126,73112,,,,35,35,73112,, 
009812,野村日本東證,4,,,54,58,27970,,,,,,27970,, 
009813,貝萊德標普卓越50,,,,251,251,112331,,,,,,112331,, 
009816,凱基台灣TOP50,4507,274,120,28873,32986,2169836,39,76,,560,597,2169836,1, 
009817,國泰日本不動產,1,,,149,150,70984,,,,,,70984,, 
009818,華南永昌NASDAQxT,,,,4,4,15788,,,,,,15788,, 
009819,中信數據及電力,42,44,,4888,4886,165686,,,,,,165686,, 
00981A,主動統一台股增長,10905,7049,12,183599,187443,2272677,1168,391,,4296,3519,2272677,212, 
00981T,平衡凱基雙核收息,,,,25,25,44190,,,,,,44190,, 
009820,元大納斯達克精選,44,83,6,1780,1735,447425,,,,200,200,447425,, 
00982A,主動群益台灣強棒,421,447,1,16016,15989,586109,26,55,,29,58,586109,21, 
00982D,主動富邦動態入息,,,,135,135,20807,,,,,,20807,, 
00982T,平衡兆豐台美動能,3,,,,3,4774,,,,,,4774,, 
00983A,主動中信ARK創新,5,2,,869,872,54671,,,,6,6,54671,, 
00983D,主動富邦複合收益,20,1,,54,73,26299,,,,,,26299,1, 
00984A,主動安聯台灣高息,5,8,,674,671,113239,,,,,,113239,, 
00984D,主動聯博全球非投,51,,,3788,3839,56889,,,,,,56889,, 
00985A,主動野村台灣50,12,27,,2018,2003,128447,,1,,84,85,128447,, 
00985B,群益ESG投等債0-5,,,,277,277,128375,,,,,,128375,, 
00986A,主動台新龍頭成長,,2,5,50,43,10831,,,,,,10831,, 
00987A,主動台新優勢成長,143,91,25,3251,3278,50410,9,,,27,18,50410,, 
00988A,主動統一全球創新,1387,2347,10,78301,77331,499984,2,17091,,31210,48299,499984,13, 
00989A,主動摩根美國科技,,1,,132,131,21029,,,,,,21029,, 
00990A,主動元大AI新經濟,685,1846,,10006,8845,448755,64,9,,217,162,448755,5, 
00991A,主動復華未來50,757,2197,26,58598,57132,661354,342,43,,588,289,661354,56, 
00992A,主動群益科技創新,657,2810,100,53845,51592,720738,39,6,,874,841,720738,3, 
00993A,主動安聯台灣,13,39,,1979,1953,221772,12,3,,47,38,221772,, 
00994A,主動第一金台股優,16,657,10,8503,7852,78172,,51,,3,54,78172,, 
00995A,主動中信台灣卓越,21,4,,1931,1948,81383,,,,11,11,81383,, 
00996A,主動兆豐台灣豐收,198,95,20,2876,2959,82974,13,2,,27,16,82974,, 
00997A,主動群益美國增長,140,173,,7363,7330,245844,1,,,3,2,245844,10, 
00999A,主動野村臺灣高息,507,263,22,10784,11006,411004,1,,,23,22,411004,, 
1101,台泥,135,52,,31203,31286,1880795,1,,,82,81,1880795,, 
1102,亞泥,47,1,,1323,1369,886640,,,,13,13,886640,, 
1103,嘉泥,24,22,25,4131,4108,197561,,,,,,197561,, 
1104,環泥,62,,,1043,1105,171670,,,,,,171670,, 
1108,幸福,3,,,758,761,101184,,,,,,101184,, 
1109,信大,,,,311,311,85289,,,,,,85289,, 
1110,東泥,6,,,2776,2782,143000,,,,,,143000,, 
1201,味全,25,6,,1268,1287,126515,,,,,,126515,, 
1203,味王,,,,6,6,60000,,,,,,60000,, 
1210,大成,7,2,,1880,1885,223691,,,,,,223691,, 
1213,大飲,,,,,,,,,,,,,,OX 
1215,卜蜂,3,5,,262,260,73697,,,,,,73697,2,X 
1216,統一,69,55,,937,951,1420503,1,7,,10,16,1420503,, 
1217,愛之味,2,2,,1243,1243,123628,,,,,,123628,, 
1218,泰山,3,17,,1558,1544,124999,,,,,,124999,2, 
1219,福壽,5,344,,1119,780,85309,,,,,,85309,, 
1220,台榮,2,2,,1149,1149,44269,,,,,,44269,, 
1225,福懋油,,5,,7140,7135,60567,,,,,,60567,, 
1227,佳格,15,1,,976,990,228772,,,,11,11,228772,, 
1229,聯華,38,20,45,2900,2873,448990,,1,,46,47,448990,, 
1231,聯華食,,7,,264,257,74613,,,,,,74613,, 
1232,大統益,,,,4,4,39993,,,,,,39993,, 
1233,天仁,,,,57,57,22647,,,,,,22647,, 
1234,黑松,1,2,,26,25,100467,,,,,,100467,, 
1235,興泰,2,,,693,695,47144,,,,,,47144,, 
1236,宏亞,2,26,,196,172,21668,,,,,,21668,, 
1256,鮮活果汁-KY,6,6,,343,343,8943,,,,,,8943,, 
1301,台塑,288,330,17,18546,18487,1591435,8,2,,236,230,1591435,, 
1303,南亞,1737,1770,2,41726,41691,1982705,447,70,,3040,2663,1982705,32, 
1304,台聚,105,169,148,12771,12559,297190,11,3,,124,116,297190,, 
1305,華夏,172,200,11,7399,7360,145262,16,,,261,245,145262,4, 
1307,三芳,24,3,,1704,1725,99454,,,,1,1,99454,, 
1308,亞聚,91,120,50,8034,7955,148435,13,,,21,8,148435,, 
1309,台達化,304,318,2,9031,9015,99396,30,4,,1423,1397,99396,3, 
1310,台苯,13,96,47,11502,11372,131967,4,,,6,2,131967,, 
1312,國喬,136,212,281,16023,15666,276655,4,,,6,2,276655,2, 
1313,聯成,141,70,,11358,11429,337711,,,,2,2,337711,, 
1314,中石化,698,343,8,47381,47728,946212,,2,,12,14,946212,, 
1315,達新,,,,60,60,24774,,,,,,24774,, 
1316,上曜,65,168,1,10997,10893,93986,,7,,17,24,93986,3, 
1319,東陽,76,37,6,5013,5046,147869,21,1,,24,4,147869,, 
1321,大洋,6,19,,7091,7078,56807,,,,,,56807,, 
1323,永裕,,4,,167,163,22818,,,,,,22818,, 
1324,地球,2,,,1458,1460,18780,,,,,,18780,, 
1325,恆大,78,38,,2414,2454,21320,1,1,,30,30,21320,, 
1326,台化,572,294,6,16941,17213,1465296,20,3,,57,40,1465296,1, 
1337,再生-KY,8,,,20922,20930,67238,,,,,,67238,, 
1338,廣華-KY,80,,,2506,2586,20960,,,,,,20960,3, 
1339,昭輝,,1,,638,637,18534,,,,,,18534,, 
1340,勝悅-KY,2,,,968,970,38230,,,,,,38230,, 
