日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150706,寶島股價指數,51947.76,-,280.21,-0.54,
1150706,發行量加權股價指數,46556.39,-,224.23,-0.48,
1150706,臺灣公司治理100指數,28671.64,-,61.81,-0.22,
1150706,臺灣50指數,42955.06,-,200.55,-0.46,
1150706,臺灣50權重上限30%指數,35857.55,-,424.11,-1.17,
1150706,臺灣中型100指數,37692.37,-,40.83,-0.11,
1150706,臺灣資訊科技指數,90756.39,-,301.36,-0.33,
1150706,臺灣發達指數,18918.58,-,393.92,-2.04,
1150706,臺灣高股息指數,14777.84,+,41.57,0.28,
1150706,臺灣就業99指數,29448.16,-,198.84,-0.67,
1150706,臺灣高薪100指數,21895.49,+,30.55,0.14,
1150706,未含金融指數,41953.70,-,255.43,-0.61,
1150706,未含電子指數,24035.90,+,102.74,0.43,
1150706,未含金融電子指數,16241.92,-,5.26,-0.03,
1150706,小型股300指數,14984.98,+,86.59,0.58,
1150706,水泥窯製類指數,660.66,-,2.06,-0.31,
1150706,塑膠化工類指數,1085.69,-,17.62,-1.60,
1150706,機電類指數,16460.87,-,108.21,-0.65,
1150706,水泥類指數,123.06,+,0.34,0.28,
1150706,食品類指數,1991.14,+,26.83,1.37,
1150706,塑膠類指數,332.07,-,15.31,-4.41,
1150706,紡織纖維類指數,512.40,-,1.63,-0.32,
1150706,電機機械類指數,574.34,+,3.64,0.64,
1150706,電器電纜類指數,110.29,+,2.51,2.33,
1150706,化學生技醫療類指數,177.35,+,3.23,1.86,
1150706,化學類指數,218.05,+,3.02,1.40,
1150706,生技醫療類指數,97.91,+,1.99,2.07,
1150706,玻璃陶瓷類指數,160.12,-,2.05,-1.26,
1150706,造紙類指數,286.73,+,5.03,1.79,
1150706,鋼鐵類指數,117.88,+,0.13,0.11,
1150706,橡膠類指數,200.01,+,2.47,1.25,
1150706,汽車類指數,303.40,+,1.73,0.57,
1150706,電子工業類指數,2990.10,-,20.46,-0.68,
1150706,半導體類指數,1589.42,+,1.74,0.11,
1150706,電腦及週邊設備類指數,412.96,-,3.36,-0.81,
1150706,光電類指數,71.97,+,0.98,1.38,
1150706,通信網路類指數,258.39,-,3.82,-1.46,
1150706,電子零組件類指數,977.33,-,45.51,-4.45,
1150706,電子通路類指數,381.19,-,2.48,-0.65,
1150706,資訊服務類指數,210.79,+,2.08,1.00,
1150706,其他電子類指數,276.44,-,2.09,-0.75,
1150706,建材營造類指數,466.77,+,3.32,0.72,
1150706,航運類指數,190.64,+,0.54,0.28,
