編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,037638,臺股指群益55購12,1,六個營業日起迄兩個營業日收盤價價差達212.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.20,157.00,-----
2,040012,定穎控元富57購01,1,最近六個營業日累積收盤價跌幅達36.95%﹝第一款﹞。,115.05.20,1.43,-----
3,046437,海悅統一58購01,1,最近六個營業日累積收盤價漲幅達35.71%﹝第一款﹞。,115.05.20,0.13,-----
4,058462,汎銓元大59購05,1,最近六個營業日累積收盤價漲幅達35.86%﹝第一款﹞。,115.05.20,13.90,-----
5,2316,楠梓電,1,最近六個營業日之累積週轉率為50.95%。且05月20日之週轉率為12.55%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.20,137.50,8.91
6,2355,敬鵬,1,最近六個營業日之累積週轉率為59.10%。且05月20日之週轉率為22.92%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.20,59.10,34.97
7,2455,全新,1,05月20日之本益比為 126.34，且股價淨值比為20.20 。另當日週轉率為14.90%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.20,400.50,126.34
8,2481,強茂,1,05月19日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.21%，且05月19日當日沖銷成交量占該日總成交量比率67.74%<font color='#FF0000'>﹝第十三款﹞</font>。,115.05.20,133.00,42.22
9,2485,兆赫,1,05月19日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.48%，且05月19日當日沖銷成交量占該日總成交量比率67.88%<font color='#FF0000'>﹝第十三款﹞</font>。,115.05.20,70.60,1765.00
10,2911,麗嬰房,1,最近六個營業日累積收盤價漲幅達39.59%﹝第一款﹞。且05月20日之成交量為最近六十個營業日日平均成交量之9.60倍﹝第三款﹞。且05月20日凱基證券商買進之比率為35.81%﹝第五款﹞。,115.05.20,7.19,1.87
11,3017,奇鋐,1,六個營業日起迄兩個營業日收盤價價差達245.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.20,2340.00,38.45
12,3090,日電貿,1,最近六個營業日累積收盤價漲幅達40.86%。且六個營業日起迄兩個營業日收盤價價差達56.00 元﹝第一款﹞。,115.05.20,178.50,37.19
13,3167,大量,1,05月20日之本益比為76.02，且股價淨值比為19.29 。另當日週轉率為 8.73%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.20,780.00,76.02
14,3535,晶彩科,1,05月20日之本益比為 305.00，且股價淨值比為8.66。另當日週轉率為13.07%，暨凱基證券商成交賣出金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為27.47%。單一投資人當日賣出該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,115.05.20,122.00,305.00
15,3583,辛耘,1,六個營業日起迄兩個營業日收盤價價差達140.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.20,826.00,56.00
16,3665,貿聯-KY,1,最近六個營業日累積收盤價跌幅達33.09%。且六個營業日起迄兩個營業日收盤價價差達535.00元﹝第一款﹞。,115.05.20,1965.00,39.66
17,3673,TPK-KY,1,最近六個營業日之累積週轉率為51.60%。且05月20日之週轉率為12.04%<font color='#FF0000'>﹝第十款﹞</font>。,115.05.20,71.70,19.70
18,4916,事欣科,1,最近六個營業日累積收盤價漲幅達28.85%。且05月20日之成交量為最近六十個營業日日平均成交量之5.64倍﹝第三款﹞。且05月20日之週轉率為29.64%﹝第四款﹞。,115.05.20,89.90,16.02
19,6449,鈺邦,1,最近六個營業日累積收盤價漲幅達32.57%。且六個營業日起迄兩個營業日收盤價價差達50.50 元﹝第一款﹞。,115.05.20,268.50,34.92
20,6515,穎崴,1,六個營業日起迄兩個營業日收盤價價差達795.00元且當日收盤價為最近六個營業日收盤價最低者<font color='#FF0000'>﹝第十一款﹞</font>。,115.05.20,9080.00,186.07
21,6742,澤米,1,最近六個營業日累積收盤價漲幅達35.07%﹝第一款﹞。且05月20日之成交量為最近六十個營業日日平均成交量之15.67 倍﹝第三款﹞。且05月20日之週轉率為15.83%﹝第四款﹞。,115.05.20,56.10,-----
22,6806,森崴能源,1,最近六個營業日累積收盤價跌幅達51.27%﹝第一款﹞。,115.05.20,11.40,-----
23,6834,天二科技,1,最近六個營業日累積收盤價漲幅達34.60%﹝第一款﹞。且05月20日富邦證券商買進之比率為39.85%﹝第五款﹞。,115.05.20,60.60,99.34
24,6924,榮惠-KY創,1,最近六個營業日累積收盤價漲幅達38.49%﹝第一款﹞。最近六十個營業日起迄兩個營業日之收盤價漲幅達160.80% ﹝第二款﹞。,115.05.20,163.00,24.44
25,7610,聯友金屬-創,1,最近六個營業日累積收盤價漲幅達35.74%。且六個營業日起迄兩個營業日收盤價價差達262.00元﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達152.82% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達308.75% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達627.27% ﹝第二款﹞。,115.05.20,1120.00,69.35
26,7730,暉盛-創,1,最近六個營業日累積收盤價漲幅達26.72%。且六個營業日起迄兩個營業日收盤價價差達55.00 元﹝第一款﹞。,115.05.20,226.00,117.10
